sram_asap7_64x64_1rw,0
A2O1A1Ixp33_ASAP7_75t_R,1
A2O1A1O1Ixp25_ASAP7_75t_R,2
AND2x2_ASAP7_75t_R,3
AND2x4_ASAP7_75t_R,3
AND2x6_ASAP7_75t_R,3
AND3x1_ASAP7_75t_R,4
AND3x2_ASAP7_75t_R,4
AND3x4_ASAP7_75t_R,4
AND4x1_ASAP7_75t_R,5
AND4x2_ASAP7_75t_R,5
AND5x1_ASAP7_75t_R,6
AND5x2_ASAP7_75t_R,6
AO211x2_ASAP7_75t_R,7
AO21x1_ASAP7_75t_R,8
AO21x2_ASAP7_75t_R,8
AO221x1_ASAP7_75t_R,9
AO221x2_ASAP7_75t_R,9
AO222x2_ASAP7_75t_R,10
AO22x1_ASAP7_75t_R,11
AO22x2_ASAP7_75t_R,11
AO31x2_ASAP7_75t_R,12
AO322x2_ASAP7_75t_R,13
AO32x1_ASAP7_75t_R,14
AO32x2_ASAP7_75t_R,14
AO331x1_ASAP7_75t_R,15
AO331x2_ASAP7_75t_R,15
AO332x1_ASAP7_75t_R,16
AO332x2_ASAP7_75t_R,16
AO333x1_ASAP7_75t_R,17
AO333x2_ASAP7_75t_R,17
AO33x2_ASAP7_75t_R,18
AOI211x1_ASAP7_75t_R,19
AOI211xp5_ASAP7_75t_R,19
AOI21x1_ASAP7_75t_R,20
AOI21xp33_ASAP7_75t_R,20
AOI21xp5_ASAP7_75t_R,20
AOI221x1_ASAP7_75t_R,21
AOI221xp5_ASAP7_75t_R,21
AOI222xp33_ASAP7_75t_R,22
AOI22x1_ASAP7_75t_R,23
AOI22xp33_ASAP7_75t_R,23
AOI22xp5_ASAP7_75t_R,23
AOI311xp33_ASAP7_75t_R,24
AOI31xp33_ASAP7_75t_R,25
AOI31xp67_ASAP7_75t_R,25
AOI321xp33_ASAP7_75t_R,26
AOI322xp5_ASAP7_75t_R,27
AOI32xp33_ASAP7_75t_R,28
AOI331xp33_ASAP7_75t_R,29
AOI332xp33_ASAP7_75t_R,30
AOI333xp33_ASAP7_75t_R,31
AOI33xp33_ASAP7_75t_R,32
ASYNC_DFFHx1_ASAP7_75t_R,33
BUFx10_ASAP7_75t_R,34
BUFx12_ASAP7_75t_R,34
BUFx12f_ASAP7_75t_R,34
BUFx16f_ASAP7_75t_R,34
BUFx24_ASAP7_75t_R,34
BUFx2_ASAP7_75t_R,34
BUFx3_ASAP7_75t_R,34
BUFx4_ASAP7_75t_R,34
